Priority Class: 2 | Queue Time: 0.464799165725708
Priority Class: 1 | Queue Time: 0.024361133575439453
Priority Class: 2 | Queue Time: 17.671290159225464
Priority Class: 1 | Queue Time: 0.020408153533935547
Priority Class: 2 | Queue Time: 3.916531801223755
Priority Class: 1 | Queue Time: 0.010998010635375977
Priority Class: 2 | Queue Time: 28.31902289390564
Priority Class: 1 | Queue Time: 0.0055768489837646484
Priority Class: 2 | Queue Time: 30.055679082870483
Priority Class: 1 | Queue Time: 0.008445024490356445
Priority Class: 2 | Queue Time: 20.620660066604614
Priority Class: 1 | Queue Time: 0.0012218952178955078
Priority Class: 2 | Queue Time: 47.181039810180664
Priority Class: 2 | Queue Time: 53.796939849853516
Priority Class: 1 | Queue Time: 0.4978220462799072
Priority Class: 2 | Queue Time: 44.73086905479431
Priority Class: 1 | Queue Time: 0.49526500701904297
Priority Class: 2 | Queue Time: 16.213120698928833
Priority Class: 1 | Queue Time: 0.4949638843536377
Priority Class: 2 | Queue Time: 30.190677881240845
Priority Class: 1 | Queue Time: 0.4925811290740967
Priority Class: 2 | Queue Time: 41.98688101768494
Priority Class: 1 | Queue Time: 0.4889819622039795
Priority Class: 2 | Queue Time: 56.308533906936646
Priority Class: 1 | Queue Time: 0.4864938259124756
Priority Class: 2 | Queue Time: 77.48567771911621
Priority Class: 1 | Queue Time: 0.4847722053527832
Priority Class: 2 | Queue Time: 42.48312711715698
Priority Class: 1 | Queue Time: 0.47811198234558105
Priority Class: 2 | Queue Time: 114.09427499771118
Priority Class: 1 | Queue Time: 0.4750540256500244
Priority Class: 2 | Queue Time: 77.98470401763916
Priority Class: 1 | Queue Time: 0.4756622314453125
Priority Class: 2 | Queue Time: 109.26122689247131
Priority Class: 1 | Queue Time: 0.4718952178955078
Priority Class: 2 | Queue Time: 122.14571285247803
Priority Class: 1 | Queue Time: 0.464188814163208
Priority Class: 2 | Queue Time: 58.314603090286255
Priority Class: 1 | Queue Time: 0.45775890350341797
Priority Class: 2 | Queue Time: 97.83196806907654
Priority Class: 1 | Queue Time: 0.461230993270874
Priority Class: 2 | Queue Time: 84.0981330871582
Priority Class: 1 | Queue Time: 0.4611687660217285
Priority Class: 2 | Queue Time: 75.3791720867157
Priority Class: 1 | Queue Time: 0.45955610275268555
Priority Class: 2 | Queue Time: 113.13345003128052
Priority Class: 1 | Queue Time: 0.45329904556274414
Priority Class: 2 | Queue Time: 110.15971302986145
Priority Class: 1 | Queue Time: 0.45157670974731445
Priority Class: 2 | Queue Time: 94.240149974823
Priority Class: 1 | Queue Time: 0.44809913635253906
Priority Class: 2 | Queue Time: 46.652384996414185
Priority Class: 2 | Queue Time: 126.75544786453247
Priority Class: 2 | Queue Time: 53.42735505104065
Priority Class: 2 | Queue Time: 71.56236529350281
Priority Class: 2 | Queue Time: 56.22911095619202
Priority Class: 2 | Queue Time: 94.90224194526672
Priority Class: 2 | Queue Time: 116.29253005981445
Priority Class: 2 | Queue Time: 30.02660608291626
Priority Class: 2 | Queue Time: 109.72750878334045
Priority Class: 2 | Queue Time: 118.89085078239441
Priority Class: 2 | Queue Time: 79.41403388977051
Priority Class: 2 | Queue Time: 133.59676384925842
Priority Class: 2 | Queue Time: 64.21581411361694
Priority Class: 2 | Queue Time: 67.24569821357727
Priority Class: 2 | Queue Time: 84.6710159778595
Priority Class: 2 | Queue Time: 131.30368518829346
Priority Class: 2 | Queue Time: 59.403473138809204
Priority Class: 2 | Queue Time: 50.18328905105591
Priority Class: 2 | Queue Time: 138.5626358985901
Priority Class: 2 | Queue Time: 58.38653016090393
Priority Class: 2 | Queue Time: 123.69816994667053
Priority Class: 2 | Queue Time: 91.78912687301636
Priority Class: 2 | Queue Time: 80.04947924613953
Priority Class: 2 | Queue Time: 130.27624702453613
Priority Class: 2 | Queue Time: 142.66245818138123
Priority Class: 2 | Queue Time: 129.4785749912262
Priority Class: 2 | Queue Time: 80.26678895950317
Priority Class: 2 | Queue Time: 151.72588896751404
Priority Class: 2 | Queue Time: 57.51738786697388
Priority Class: 2 | Queue Time: 73.49348878860474
Priority Class: 2 | Queue Time: 135.24542808532715
Priority Class: 2 | Queue Time: 63.3471360206604
Priority Class: 2 | Queue Time: 84.00442004203796
Priority Class: 2 | Queue Time: 107.5641598701477
Priority Class: 2 | Queue Time: 132.58052778244019
Priority Class: 2 | Queue Time: 110.73231291770935
Priority Class: 2 | Queue Time: 122.74724984169006
Priority Class: 2 | Queue Time: 112.10172605514526
Priority Class: 2 | Queue Time: 156.5584900379181
Priority Class: 2 | Queue Time: 148.42189574241638
Priority Class: 2 | Queue Time: 144.97562980651855
Priority Class: 2 | Queue Time: 80.63185691833496
Priority Class: 2 | Queue Time: 116.06512308120728
Priority Class: 2 | Queue Time: 123.77202892303467
Priority Class: 2 | Queue Time: 72.08138394355774
Priority Class: 2 | Queue Time: 59.984817028045654
Priority Class: 2 | Queue Time: 117.01118206977844
Priority Class: 2 | Queue Time: 112.4776132106781
Priority Class: 2 | Queue Time: 102.17031002044678
Priority Class: 2 | Queue Time: 120.31930208206177
Priority Class: 2 | Queue Time: 93.46343398094177
Priority Class: 2 | Queue Time: 61.204915046691895
Priority Class: 2 | Queue Time: 105.26946496963501
Priority Class: 2 | Queue Time: 118.01930904388428
Priority Class: 2 | Queue Time: 119.24339008331299
Priority Class: 2 | Queue Time: 175.94511008262634
Priority Class: 2 | Queue Time: 142.9523000717163
Priority Class: 2 | Queue Time: 165.43303108215332
Priority Class: 2 | Queue Time: 67.61259078979492
Priority Class: 2 | Queue Time: 77.84106373786926
Priority Class: 2 | Queue Time: 157.222580909729
Priority Class: 2 | Queue Time: 141.85293889045715
Priority Class: 2 | Queue Time: 76.47420573234558
Priority Class: 2 | Queue Time: 72.29417014122009
Priority Class: 2 | Queue Time: 166.79946637153625
Priority Class: 2 | Queue Time: 179.9032609462738
Priority Class: 2 | Queue Time: 110.16157388687134
Priority Class: 2 | Queue Time: 84.39001893997192
Priority Class: 2 | Queue Time: 127.01462912559509
Priority Class: 2 | Queue Time: 179.7424020767212
Priority Class: 2 | Queue Time: 185.289715051651
Priority Class: 2 | Queue Time: 132.4803011417389
Priority Class: 2 | Queue Time: 147.74637699127197
Priority Class: 2 | Queue Time: 183.56844115257263
Priority Class: 2 | Queue Time: 180.10922026634216
Priority Class: 2 | Queue Time: 144.2145652770996
Priority Class: 2 | Queue Time: 102.5990207195282
Priority Class: 2 | Queue Time: 69.6223521232605
Priority Class: 2 | Queue Time: 174.56567978858948
Priority Class: 2 | Queue Time: 105.5543839931488
Priority Class: 2 | Queue Time: 162.9779989719391
Priority Class: 2 | Queue Time: 160.59868025779724
Priority Class: 2 | Queue Time: 125.06372404098511
Priority Class: 2 | Queue Time: 79.48207187652588
Priority Class: 2 | Queue Time: 105.5502462387085
Priority Class: 2 | Queue Time: 150.33568501472473
Priority Class: 2 | Queue Time: 189.03509092330933
Priority Class: 2 | Queue Time: 71.78477692604065
Priority Class: 2 | Queue Time: 119.07995009422302
Priority Class: 2 | Queue Time: 70.62721300125122
Priority Class: 2 | Queue Time: 89.8519868850708
Priority Class: 2 | Queue Time: 182.19428300857544
Priority Class: 2 | Queue Time: 169.74369502067566
Priority Class: 2 | Queue Time: 118.71252298355103
Priority Class: 2 | Queue Time: 119.57165598869324
Priority Class: 2 | Queue Time: 143.84629082679749
Priority Class: 2 | Queue Time: 169.95300769805908
Priority Class: 2 | Queue Time: 80.04784774780273
Priority Class: 2 | Queue Time: 106.11006188392639
Priority Class: 2 | Queue Time: 114.53884601593018
Priority Class: 2 | Queue Time: 97.40695810317993
Priority Class: 2 | Queue Time: 153.69864797592163
Priority Class: 2 | Queue Time: 145.57060408592224
Priority Class: 2 | Queue Time: 150.3916049003601
Priority Class: 2 | Queue Time: 101.93224024772644
Priority Class: 2 | Queue Time: 174.11839389801025
Priority Class: 2 | Queue Time: 168.49181604385376
Priority Class: 2 | Queue Time: 140.52791786193848
Priority Class: 2 | Queue Time: 90.26209211349487
Priority Class: 2 | Queue Time: 204.21676993370056
Priority Class: 2 | Queue Time: 152.49048280715942
