Priority Class: 3 | Queue Time: 113.41635179519653
Priority Class: 3 | Queue Time: 110.38473868370056
Priority Class: 3 | Queue Time: 115.86260104179382
Priority Class: 3 | Queue Time: 136.73137402534485
Priority Class: 3 | Queue Time: 141.5584785938263
Priority Class: 3 | Queue Time: 128.6091480255127
Priority Class: 3 | Queue Time: 133.74904417991638
Priority Class: 3 | Queue Time: 130.88738894462585
Priority Class: 3 | Queue Time: 118.54706692695618
Priority Class: 1 | Queue Time: 0.44006872177124023
Priority Class: 2 | Queue Time: 0.9432578086853027
Priority Class: 1 | Queue Time: 0.4290890693664551
Priority Class: 2 | Queue Time: 0.4974246025085449
Priority Class: 1 | Queue Time: 0.420656681060791
Priority Class: 2 | Queue Time: 0.7794196605682373
Priority Class: 1 | Queue Time: 0.41289830207824707
Priority Class: 2 | Queue Time: 0.33925414085388184
Priority Class: 1 | Queue Time: 0.4037137031555176
Priority Class: 2 | Queue Time: 4.227002143859863
Priority Class: 1 | Queue Time: 0.3953368663787842
Priority Class: 2 | Queue Time: 0.9050798416137695
Priority Class: 1 | Queue Time: 0.3876831531524658
Priority Class: 2 | Queue Time: 1.5425512790679932
Priority Class: 1 | Queue Time: 0.3791489601135254
Priority Class: 2 | Queue Time: 1.1060519218444824
Priority Class: 1 | Queue Time: 0.3707242012023926
Priority Class: 2 | Queue Time: 0.6704609394073486
Priority Class: 1 | Queue Time: 0.3616142272949219
Priority Class: 2 | Queue Time: 0.953641414642334
Priority Class: 1 | Queue Time: 0.35329151153564453
Priority Class: 2 | Queue Time: 0.15874600410461426
Priority Class: 1 | Queue Time: 0.3451206684112549
Priority Class: 2 | Queue Time: 0.8004348278045654
Priority Class: 1 | Queue Time: 0.3362247943878174
Priority Class: 2 | Queue Time: 3.239515542984009
Priority Class: 1 | Queue Time: 0.3283722400665283
Priority Class: 2 | Queue Time: 8.19749140739441
Priority Class: 1 | Queue Time: 0.3190176486968994
Priority Class: 2 | Queue Time: 12.079476356506348
Priority Class: 2 | Queue Time: 3.944963216781616
Priority Class: 2 | Queue Time: 5.884439706802368
Priority Class: 2 | Queue Time: 6.028295278549194
Priority Class: 2 | Queue Time: 4.7272608280181885
Priority Class: 2 | Queue Time: 5.588689088821411
Priority Class: 2 | Queue Time: 11.844209432601929
Priority Class: 2 | Queue Time: 10.904593467712402
Priority Class: 2 | Queue Time: 15.72665786743164
Priority Class: 2 | Queue Time: 11.546306371688843
Priority Class: 2 | Queue Time: 10.61187744140625
Priority Class: 2 | Queue Time: 13.26834225654602
Priority Class: 2 | Queue Time: 19.89672589302063
Priority Class: 2 | Queue Time: 12.834575414657593
Priority Class: 2 | Queue Time: 17.295167207717896
Priority Class: 2 | Queue Time: 15.993208169937134
Priority Class: 2 | Queue Time: 18.654855728149414
Priority Class: 2 | Queue Time: 19.515642404556274
Priority Class: 2 | Queue Time: 22.178673028945923
Priority Class: 2 | Queue Time: 24.123380661010742
Priority Class: 2 | Queue Time: 22.461068630218506
Priority Class: 3 | Queue Time: 19.72869038581848
Priority Class: 3 | Queue Time: 25.022829294204712
Priority Class: 3 | Queue Time: 25.844608306884766
Priority Class: 3 | Queue Time: 20.59916877746582
Priority Class: 3 | Queue Time: 27.32888412475586
Priority Class: 3 | Queue Time: 23.350387573242188
